ticker,official_name,name,description,sector,industry,website,shortname,stock_type
GMKN,ГМКНорНик,"ГМК ""Нор.Никель"" ПАО - обыкн.","ПАО ГМК Норильский Никель занимается исследованием, добычей и переработкой руды и неметаллических минералов, а также продажей черных и цветных металлов, добытых из руды. Подразделения компании включают в себя: ГМК Груп, которое отвечает за добычу и металлургию, транспортные услуги, энергию, ремонтные и сервисные услуги на Таймырском полуострове; КГМК Груп, которое ведёт добычу и металлургические операции, энергетические операции и геологоразведку на Кольском полуострове; Norilsk Nickel Harjavalta, отвечающее за операции по нефтепереработке в Финляндии; Другие металлургические предприятия, включающие в себя металлургическую деятельность и геологоразведку в России и за рубежом, и Другие неметаллургические предприятия, включают в себя торговлю металлом и другими товарами, управление цепью снабжения, транспортные услуги, энергию и энергетику, исследования и другую деятельность в России и за рубежом. Производственные мощности компании расположены на Таймырском и Кольском полуостровах в России и в Финляндии.",Несырьевые полезные ископаемые,Прочие металлы и минералы,http://nornickel.com/,ГМКНорНик,Обыкновенная
GTRK,ГТМ ао,"ПАО ""ГТМ"" - обыкн.",Unknown,Транспорт,Грузоперевозки,http://www.gt-m.ru/,ГТМ ао,Обыкновенная
HIMCP,Химпром ап,Химпром ПАО - прив.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.himprom.com/,Химпром ап,Привилегированная
HYDR,РусГидро,"ПАО ""РусГидро""","ПАО Федеральная гидрогенерирующая компания — РусГидро, ранее известная как ОАО «Федеральная гидрогенерирующая компания — РусГидро» и ОАО ГидроОГК, — это российская компания, которая занимается генерацией, передачей и поставками электроэнергии на оптовый рынок РФ. Основная деятельность компании состоит в производстве электроэнергии из возобновляемых источников, развитии электрогенерации с использованием течения воды, приливов, ветра и геотермальной энергии. Компания осуществляет свою деятельность посредством множества подразделения на всей территории Российской Федерации.",Коммунальные услуги,Электроэнергетика,http://www.eng.rushydro.ru/,РусГидро,Обыкновенная
IRAO,ИнтерРАОао,"""Интер РАО"" ПАО - обыкн.","ПАО Интер РАО ЕЭС, ранее известная как ОАО Интер РАО ЕЭС, — это расположенная в России компания, работающая в секторе энергетики. Она занимается производством, распространением и продажей термальной и электроэнергии, экспортом и импортом электроэнергии, торговлей электроэнергией на внутреннем и внешнем рынках, розничной продажей электроэнергии и управлением зарубежными активами. Компания торгует электроэнергией на внутреннем и внешнем рынках, последний включает помимо прочих Финляндию, Беларусь, Литву, Грузию, Украину и Турцию. У ПАО Интер РАО ЕЭС есть несколько представительств и местных отделений в Бельгии, Эквадоре и Кубе, через которые оно осуществляет свою деятельность.",Коммунальные услуги,Электроэнергетика,http://www.interrao.ru/,ИнтерРАОао,Обыкновенная
IRKT,Яковлев-3,"""Яковлев"" ПАО ак.об.-3",Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://yakovlev.ru/,Яковлев-3,Обыкновенная
JNOS,Славн-ЯНОС,Славнефть-ЯНОС (ПАО) - обыкн.,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.refinery.yaroslavl.ru/,Славн-ЯНОС,Обыкновенная
JNOSP,Слав-ЯНОСп,Славнефть-ЯНОС (ПАО) - прив.,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.refinery.yaroslavl.ru/,Слав-ЯНОСп,Привилегированная
KAZT,Куйбазот,Куйбышевазот ПАО - обыкн.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.kuazot.ru/,Куйбазот,Обыкновенная
KAZTP,Куйбазот-п,Куйбышевазот ПАО - прив.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.kuazot.ru/,Куйбазот-п,Привилегированная
KBSB,ТНСэКубань,ТНС энерго Кубань ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://corp.tns-e.ru/,ТНСэКубань,Обыкновенная
KCHE,КамчатЭ ао,Камчатскэнерго ПАО - обыкн.,Unknown,Коммунальные услуги,Альтернативные источники энергии,http://www.kamenergo.ru/,КамчатЭ ао,Обыкновенная
KCHEP,КамчатЭ ап,Камчатскэнерго ПАО - прив.,Unknown,Коммунальные услуги,Альтернативные источники энергии,http://www.kamenergo.ru/,КамчатЭ ап,Привилегированная
KGKC,КурганГКао,Курганская генер.комп.ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.kgk-kurgan.ru/,КурганГКао,Обыкновенная
KGKCP,КурганГКап,Курганская генер. комп. ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.kgk-kurgan.ru/,КурганГКап,Привилегированная
KLSB,КалужскСК,"""Калужская сбыт.комп.""ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.ksc.kaluga.ru/,КалужскСК,Обыкновенная
KLVZ,Кристалл,Алкогольная Группа Кристалл,Unknown,Потребительские товары недлительного пользования,Производство алкоголя,Unknown,Кристалл,Обыкновенная
KMAZ,КАМАЗ,КАМАЗ ПАО,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",http://www.kamaz.ru/,КАМАЗ,Обыкновенная
KRKOP,ТКЗКК ап,ТКЗ Красный котельщик ПАО - прив.,Unknown,Промышленное производство,Промышленное оборудование,http://www.tkz.su/,ТКЗКК ап,Привилегированная
KROT,КрасОкт-ао,"""КрасныйОктябрь"" ПАО - - обыкн.",Unknown,Потребительские товары недлительного пользования,Пищевая промышленность: деликатесы и кондитерские изделия,http://www.konfetki.ru/,КрасОкт-ао,Обыкновенная
KROTP,КрасОкт-1п,КрасныйОктябрь-1п,Unknown,Потребительские товары недлительного пользования,Пищевая промышленность: деликатесы и кондитерские изделия,http://www.konfetki.ru/,КрасОкт-1п,Привилегированная
KRSB,Красэсб ао,Красноярскэнергосбыт - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.krsk-sbit.ru/,Красэсб ао,Обыкновенная
KRSBP,Красэсб ап,Красноярскэнергосбыт - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.krsk-sbit.ru/,Красэсб ап,Привилегированная
KUZB,КузнецкийБ,"Банк ""Кузнецкий"" ПАО - обыкн.",Unknown,Финансы,Региональные банки,http://www.kuzbank.ru/,КузнецкийБ,Обыкновенная
KZOS,ОргСинт ао,"ПАО ""Органический синтез"" - обыкн.",Unknown,Промышленное производство,Прочие виды производства,http://www.kazanorgsintez.ru/,ОргСинт ао,Обыкновенная
KZOSP,ОргСинт ап,"ПАО ""Органический синтез"" - прив.",Unknown,Промышленное производство,Прочие виды производства,http://www.kazanorgsintez.ru/,ОргСинт ап,Привилегированная
LIFE,Фармсинтез,Фармсинтез ПАО - обыкн.,Unknown,Медицинские технологии,Фармацевтические товары,http://www.pharmsynthez.com/,Фармсинтез,Обыкновенная
LPSB,ЛЭСК ао,Липецкая энергосбыт.ком.ОАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lesk.ru/,ЛЭСК ао,Обыкновенная
LSNG,РСетиЛЭ,Россети Ленэнерго ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lenenergo.ru/,РСетиЛЭ,Обыкновенная
LSNGP,РСетиЛЭ-п,Россети Ленэнерго ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lenenergo.ru/,РСетиЛЭ-п,Привилегированная
LVHK,Левенгук,Левенгук ПАО - обыкн.,Unknown,Электронные технологии,Электронные комплектующие,http://www.levenhuk.ru/,Левенгук,Обыкновенная
MAGE,МагадЭн ао,"""Магаданэнерго"" ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,Unknown,МагадЭн ао,Обыкновенная
MAGEP,МагадЭн ап,"""Магаданэнерго"" ПАО - прив.",Unknown,Коммунальные услуги,Электроэнергетика,Unknown,МагадЭн ап,Привилегированная
