ticker,official_name,name,description,sector,industry,website
PMSBP,ПермьЭнС-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.energos.perm.ru/
PRFN,ЧЗПСН ао,Unknown,Unknown,Промышленное производство,Строительные материалы,http://www.profnasteel.ru/
RASP,Распадская,Unknown,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.raspadskaya.com/
RBCM,ГК РБК ао,Unknown,Unknown,Технологии,Интернет-сервисы и ПО,http://www.rbcholding.com/
RDRB,РДБанк ао,Unknown,Unknown,Финансы,Основные банки,http://www.rdb.ru/
RENI,Ренессанс,Unknown,Unknown,Финансы,Услуги страховых брокеров,http://www.invest.renins.ru/
RGSS,РГС СК ао,Unknown,Unknown,Финансы,Смешанное страхование,http://www.rgs.ru/
ROLO,Русолово,Unknown,Unknown,Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.rus-olovo.ru/
ROST,РОСИНТЕРао,Unknown,Unknown,Потребительские услуги,Рестораны,http://www.rosinter.com/
RTKM,Ростел -ао,Unknown,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.company.rt.ru/
RTKMP,Ростел -ап,Unknown,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.company.rt.ru/
RTSB,ТНСэнРст,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rostov.tns-e.ru/
RTSBP,ТНСэнРст-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rostov.tns-e.ru/
RUAL,РУСАЛ ао,Unknown,Unknown,Несырьевые полезные ископаемые,Алюминий,http://www.rusal.ru/
RUSI,ИКРУСС-ИНВ,Unknown,Unknown,Разное,Инвестиционные компании и паевые фонды,http://www.russ-invest.ru/
RZSB,РязЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.resk.ru/
SAGO,СамарЭн-ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.samaraenergo.ru/
SAGOP,СамарЭн-ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.samaraenergo.ru/
SARE,СаратЭн-ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.saratovenergo.ru/
SAREP,СаратЭн-ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.saratovenergo.ru/
SBER,Сбербанк,Unknown,Unknown,Финансы,Региональные банки,http://www.sberbank.ru/
SBERP,Сбербанк-п,Unknown,Unknown,Финансы,Региональные банки,http://www.sberbank.ru/
SELG,Селигдар,Unknown,Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://www.seligdar.ru/
SGZH,Сегежа,Unknown,Unknown,Обрабатывающая промышленность,Контейнеры и тара,http://www.segezha-group.com/
SLEN,Сахэнер ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.sahen.elektra.ru/
SNGS,Сургнфгз,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.surgutneftegas.ru/
SNGSP,Сургнфгз-п,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.surgutneftegas.ru/
SOFL,iСофтлайн,Unknown,Unknown,Unknown,Unknown,Unknown
STSB,СтаврЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.staves.ru/
